dispatching_base_number,date,active_vehicles,trips
B02512,1/1/15,190,1132
B02765,1/1/15,225,1765
B02764,1/1/15,3427,29421
B02682,1/1/15,945,7679
B02617,1/1/15,1228,9537
B02598,1/1/15,870,6903
B02598,1/2/15,785,4768
B02617,1/2/15,1137,7065
B02512,1/2/15,175,875
B02682,1/2/15,890,5506
B02765,1/2/15,196,1001
B02764,1/2/15,3147,19974
B02765,1/3/15,201,1526
B02617,1/3/15,1188,10664
B02598,1/3/15,818,7432
B02682,1/3/15,915,8010
B02512,1/3/15,173,1088
B02764,1/3/15,3215,29729
B02512,1/4/15,147,791
B02682,1/4/15,812,5621
B02598,1/4/15,746,5223
B02765,1/4/15,183,993
B02617,1/4/15,1088,7729
B02764,1/4/15,2862,20441
B02512,1/5/15,194,984
B02682,1/5/15,951,6012
B02617,1/5/15,1218,7899
B02764,1/5/15,3387,20926
B02598,1/5/15,907,5798
B02765,1/5/15,227,1133
B02764,1/6/15,3473,25301
B02682,1/6/15,1022,7491
B02617,1/6/15,1336,10128
B02765,1/6/15,234,1376
B02512,1/6/15,218,1314
B02598,1/6/15,933,6816
B02617,1/7/15,1363,11528
B02682,1/7/15,1039,9078
B02764,1/7/15,3603,29949
B02765,1/7/15,248,1704
B02512,1/7/15,217,1446
B02598,1/7/15,974,8397
B02765,1/8/15,262,1911
B02598,1/8/15,1070,10050
B02512,1/8/15,238,1772
B02682,1/8/15,1135,10416
B02764,1/8/15,3831,33802
B02617,1/8/15,1463,13462
B02617,1/9/15,1455,13165
B02512,1/9/15,224,1560
B02764,1/9/15,3820,33517
B02682,1/9/15,1140,10477
B02598,1/9/15,1070,9538
B02765,1/9/15,280,2039
B02682,1/10/15,1057,11629
B02617,1/10/15,1331,13856
B02598,1/10/15,949,10287
B02512,1/10/15,206,1646
B02764,1/10/15,3558,38864
B02765,1/10/15,245,2202
B02765,1/11/15,220,1672
B02598,1/11/15,832,7176
B02682,1/11/15,943,8461
B02764,1/11/15,3186,27681
B02617,1/11/15,1228,10932
B02512,1/11/15,162,1104
B02764,1/12/15,3499,26852
B02765,1/12/15,279,1711
B02512,1/12/15,217,1399
B02598,1/12/15,964,7915
B02682,1/12/15,1082,9107
B02617,1/12/15,1323,10662
B02765,1/13/15,258,1697
B02598,1/13/15,975,8713
B02617,1/13/15,1342,11825
B02512,1/13/15,234,1652
B02764,1/13/15,3658,29983
B02682,1/13/15,1092,9629
B02764,1/14/15,3736,29550
B02765,1/14/15,271,1600
B02598,1/14/15,1030,8870
B02512,1/14/15,233,1582
B02617,1/14/15,1405,11965
B02682,1/14/15,1174,9762
B02512,1/15/15,237,1636
B02682,1/15/15,1208,10391
B02617,1/15/15,1457,12539
B02765,1/15/15,270,1797
B02764,1/15/15,3840,31214
B02598,1/15/15,1068,9152
B02617,1/16/15,1445,12977
B02765,1/16/15,290,2082
B02764,1/16/15,3975,34822
B02682,1/16/15,1250,11280
B02512,1/16/15,234,1481
B02598,1/16/15,1079,9838
B02598,1/17/15,974,9546
B02512,1/17/15,201,1281
B02682,1/17/15,1137,11382
B02765,1/17/15,252,2160
B02617,1/17/15,1306,12676
B02764,1/17/15,3657,36318
B02512,1/18/15,177,1521
B02598,1/18/15,869,9443
B02765,1/18/15,248,2287
B02764,1/18/15,3290,35182
B02682,1/18/15,1056,11161
B02617,1/18/15,1223,12879
B02682,1/19/15,883,7028
B02617,1/19/15,992,7775
B02765,1/19/15,238,1568
B02764,1/19/15,2958,22750
B02512,1/19/15,168,1025
B02598,1/19/15,706,5609
B02598,1/20/15,944,7206
B02682,1/20/15,1151,8496
B02512,1/20/15,221,1310
B02764,1/20/15,3654,26137
B02765,1/20/15,272,1608
B02617,1/20/15,1350,10015
B02764,1/21/15,3718,27344
B02512,1/21/15,242,1519
B02682,1/21/15,1228,9472
B02598,1/21/15,1035,8041
B02765,1/21/15,296,1774
B02617,1/21/15,1429,10997
B02617,1/22/15,1471,12143
B02764,1/22/15,3889,30091
B02512,1/22/15,246,1551
B02598,1/22/15,1071,9080
B02682,1/22/15,1295,10699
B02765,1/22/15,295,2038
B02598,1/23/15,1093,9343
B02512,1/23/15,246,1670
B02765,1/23/15,299,2162
B02764,1/23/15,4040,33756
B02617,1/23/15,1482,13121
B02682,1/23/15,1330,11767
B02598,1/24/15,945,10040
B02764,1/24/15,3652,39187
B02512,1/24/15,211,1608
